model_number,identifier,variant,emc,model_name,storage_capacity,housing_color,network,cellular_network,camera,controller,ports,power_cord,power_brick,dimensions,avg_weight,release_date,msrp
MD281LL/A,"iPhone4,1",A1387,2430,iPhone 4S,64GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,399
MF263LL/A,"iPhone4,1",A1387,2430,iPhone 4S,8GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,99
MF269LL/A,"iPhone4,1",A1387,2430,iPhone 4S,8GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,99
MD381LL/A,"iPhone4,1",A1387,2430,iPhone 4S,64GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,399
MD278LL/A,"iPhone4,1",A1387,2430,iPhone 4S,32GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,299
MF263X/A,"iPhone4,1",A1387,2430,iPhone 4S,8GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,99
MD279LL/A,"iPhone4,1",A1387,2430,iPhone 4S,32GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,299
MD269LL/A,"iPhone4,1",A1387,2430,iPhone 4S,64GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,399
MC920LL/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MD239CH/A,"iPhone4,1",A1431,,iPhone 4S,16GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,January 13th 2012,199
MD237LL/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MD241LL/A,"iPhone4,1",A1387,2430,iPhone 4S,32GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,299
MF270LL/A,"iPhone4,1",A1387,2430,iPhone 4S,8GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,99
MF266CH/A,"iPhone4,1",A1431,,iPhone 4S,8GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,September 10th 2013,99
MF268CH/A,"iPhone4,1",A1431,,iPhone 4S,8GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,September 10th 2013,99
MD234LL/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MF261LL/A,"iPhone4,1",A1387,2430,iPhone 4S,8GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,99
MF260LL/A,"iPhone4,1",A1387,2430,iPhone 4S,8GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,99
MD236CH/A,"iPhone4,1",A1431,,iPhone 4S,16GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,January 13th 2012,199
MD235CH/A,"iPhone4,1",A1431,,iPhone 4S,16GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,January 13th 2012,199
MC918LL/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MC922LL/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MD280LL/A,"iPhone4,1",A1387,2430,iPhone 4S,64GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,399
MF262LL/A,"iPhone4,1",A1387,2430,iPhone 4S,8GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,99
MD126LL/A,"iPhone3,2",A1332,80A/380B,iPhone 4,8GB,Black,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,October 4th 2011,99
MC604LL/A,"iPhone3,1",A1332,80A/380B,iPhone 4,16GB,White,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,June 7th 2010,199
MD146LL/A,"iPhone3,3",A1349,2422,iPhone 4,8GB,Black,WiFi + Cellular,CDMA,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,October 4th 2011,99
MC677LL/A,"iPhone3,3",A1349,2422,iPhone 4,16GB,White,WiFi + Cellular,CDMA,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,January 11th 2011,199
MC603LL/A,"iPhone3,1",A1332,80A/380B,iPhone 4,16GB,Black,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,June 7th 2010,199
MC676LL/A,"iPhone3,3",A1349,2422,iPhone 4,16GB,Black,WiFi + Cellular,CDMA,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,January 11th 2011,199
MC678LL/A,"iPhone3,3",A1349,2422,iPhone 4,32GB,Black,WiFi + Cellular,CDMA,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,January 11th 2011,299
MC605LL/A,"iPhone3,1",A1332,80A/380B,iPhone 4,32GB,Black,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,June 7th 2010,299
MD200LL/A,"iPhone3,3",A1349,2422,iPhone 4,8GB,White,WiFi + Cellular,CDMA,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,October 4th 2011,99
MC318LL/A,"iPhone3,1",A1332,80A/380B,iPhone 4,16GB,Black,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,June 7th 2010,199
MC319LL/A,"iPhone3,1",A1332,80A/380B,iPhone 4,32GB,Black,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,June 7th 2010,299
MC606LL/A,"iPhone3,1",A1332,80A/380B,iPhone 4,32GB,White,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,June 7th 2010,299
MD198LL/A,"iPhone3,2",A1332,80A/380B,iPhone 4,8GB,White,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,October 4th 2011,99
MC679LL/A,"iPhone3,3",A1349,2422,iPhone 4,32GB,White,WiFi + Cellular,CDMA,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,January 11th 2011,299
MD196LL/A,"iPhone3,2",A1332,80A/380B,iPhone 4,8GB,White,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,October 4th 2011,99
MC536LL/A,"iPhone3,1",A1332,80A/380B,iPhone 4,16GB,White,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,June 7th 2010,199
MD128LL/A,"iPhone3,2",A1332,80A/380B,iPhone 4,8GB,Black,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,October 4th 2011,99
MC537LL/A,"iPhone3,1",A1332,80A/380B,iPhone 4,32GB,White,WiFi + Cellular,Pentaband,5.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.8 oz,June 7th 2010,299
MC555LL/A,"iPhone2,1",A1303,2315,iPhone 3GS,8GB,Black,WiFi + Cellular,2G/3G,3.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.4 x 0.48 inches,4.8 oz,June 8th 2009,199
MB717LL/A,"iPhone2,1",A1303,2315,iPhone 3GS,32GB,Black,WiFi + Cellular,2G/3G,3.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.4 x 0.48 inches,4.8 oz,June 8th 2009,299
MB715LL/A,"iPhone2,1",A1303,2315,iPhone 3GS,16GB,Black,WiFi + Cellular,2G/3G,3.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.4 x 0.48 inches,4.8 oz,June 8th 2009,199
MB718LL/A,"iPhone2,1",A1303,2315,iPhone 3GS,32GB,White,WiFi + Cellular,2G/3G,3.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.4 x 0.48 inches,4.8 oz,June 8th 2009,299
MB716LL/A,"iPhone2,1",A1303,2315,iPhone 3GS,16GB,White,WiFi + Cellular,2G/3G,3.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.4 x 0.48 inches,4.8 oz,June 8th 2009,199
MB046LL/A,"iPhone1,2",A1241,2347,iPhone 3G,8GB,Black,WiFi + Cellular,2G/3G,2.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.4 x 0.48 inches,4.7 oz,June 9th 2008,199
MB048LL/A,"iPhone1,2",A1241,2347,iPhone 3G,16GB,Black,WiFi + Cellular,2G/3G,2.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.4 x 0.48 inches,4.7 oz,June 9th 2008,299
MB499LL/A,"iPhone1,2",A1241,2347,iPhone 3G,16GB,White,WiFi + Cellular,2G/3G,2.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.4 x 0.48 inches,4.7 oz,June 9th 2008,299
MYW33LL/A,,A3084,,iPhone 16 Pro Max,256GB,Black Titanium,WiFi + Cellular,GSM/CDMA/5G,48 Megapixels,Haptic Touch,USB-C,USB-C to USB-C,,6.42 x 3.06 x .32 inches,7.99 oz,September 9th 2024,1199
MYW43LL/A,,A3084,,iPhone 16 Pro Max,256GB,White Titanium,WiFi + Cellular,GSM/CDMA/5G,48 Megapixels,Haptic Touch,USB-C,USB-C to USB-C,,6.42 x 3.06 x .32 inches,7.99 oz,September 9th 2024,1199
MYW53LL/A,,A3084,,iPhone 16 Pro Max,256GB,Desert Titanium,WiFi + Cellular,GSM/CDMA/5G,48 Megapixels,Haptic Touch,USB-C,USB-C to USB-C,,6.42 x 3.06 x .32 inches,7.99 oz,September 9th 2024,1199
MYW73LL/A,,A3084,,iPhone 16 Pro Max,512GB,Black Titanium,WiFi + Cellular,GSM/CDMA/5G,48 Megapixels,Haptic Touch,USB-C,USB-C to USB-C,,6.42 x 3.06 x .32 inches,7.99 oz,September 9th 2024,1399
MYW63LL/A,,A3084,,iPhone 16 Pro Max,256GB,Natural Titanium,WiFi + Cellular,GSM/CDMA/5G,48 Megapixels,Haptic Touch,USB-C,USB-C to USB-C,,6.42 x 3.06 x .32 inches,7.99 oz,September 9th 2024,1199
MYW83LL/A,,A3084,,iPhone 16 Pro Max,512GB,White Titanium,WiFi + Cellular,GSM/CDMA/5G,48 Megapixels,Haptic Touch,USB-C,USB-C to USB-C,,6.42 x 3.06 x .32 inches,7.99 oz,September 9th 2024,1399
